Date,Close,Ticker
22-07-2021,634.4266357,N
23-07-2021,654.4475098,N
26-07-2021,654.5441284,N
27-07-2021,655.2211914,N
28-07-2021,662.5717773,N
29-07-2021,666.8884277,N
30-07-2021,662.0383301,N
02-08-2021,660.9713135,N
03-08-2021,669.7015381,N
04-08-2021,693.2244873,N
05-08-2021,681.3902588,N
06-08-2021,676.7341919,N
09-08-2021,681.7781982,N
10-08-2021,679.8866577,N
11-08-2021,672.757019,N
12-08-2021,680.3231812,N
13-08-2021,683.6697388,N
16-08-2021,681.5842896,N
17-08-2021,680.1776733,N
18-08-2021,667.6643677,N
20-08-2021,660.2922974,N
23-08-2021,662.2323608,N
24-08-2021,673.630127,N
25-08-2021,670.3320313,N
26-08-2021,677.8496704,N
27-08-2021,678.7712402,N
30-08-2021,692.2545166,N
31-08-2021,697.4924927,N
01-09-2021,698.3170776,N
02-09-2021,703.4096069,N
03-09-2021,702.585144,N
06-09-2021,699.5296021,N
07-09-2021,695.4070435,N
08-09-2021,699.3355713,N
09-09-2021,698.6566162,N
13-09-2021,686.1918945,N
14-09-2021,686.2402954,N
15-09-2021,692.9334106,N
16-09-2021,705.3981934,N
17-09-2021,698.5595703,N
20-09-2021,688.7138672,N
21-09-2021,690.5083618,N
22-09-2021,682.2631836,N
23-09-2021,695.5039673,N
24-09-2021,701.2756348,N
27-09-2021,708.1143188,N
28-09-2021,695.6495361,N
29-09-2021,688.2288818,N
30-09-2021,679.8381958,N
01-10-2021,671.5930176,N
04-10-2021,679.2077026,N
05-10-2021,676.2005615,N
06-10-2021,668.8284912,N
07-10-2021,681.1477051,N
08-10-2021,682.3117676,N
11-10-2021,691.914917,N
12-10-2021,687.3557739,N
13-10-2021,688.6654053,N
14-10-2021,705.4952393,N
18-10-2021,723.1010742,N
19-10-2021,725.0410767,N
20-10-2021,723.4890137,N
21-10-2021,732.8497925,N
22-10-2021,736.5357666,N
25-10-2021,816.4654541,N
26-10-2021,804.5341797,N
27-10-2021,809.9663696,N
28-10-2021,774.7545166,N
29-10-2021,778.0041504,N
01-11-2021,779.7987061,N
02-11-2021,776.9371338,N
03-11-2021,762.3869019,N
04-11-2021,758.6522827,N
08-11-2021,756.7608032,N
09-11-2021,762.968811,N
10-11-2021,757.4882813,N
11-11-2021,748.3215942,N
12-11-2021,753.3170776,N
15-11-2021,750.1161499,N
16-11-2021,741.1434326,N
17-11-2021,738.4758301,N
18-11-2021,740.0279541,N
22-11-2021,729.4547119,N
23-11-2021,729.3091431,N
24-11-2021,737.4088745,N
25-11-2021,728.5331421,N
26-11-2021,700.5480957,N
29-11-2021,696.8620605,N
30-11-2021,692.9334106,N
01-12-2021,705.8832397,N
02-12-2021,700.7421265,N
03-12-2021,694.8249512,N
06-12-2021,688.2773438,N
07-12-2021,712.624939,N
08-12-2021,730.8127441,N
09-12-2021,732.3647461,N
10-12-2021,735.2748413,N
13-12-2021,731.3946533,N
14-12-2021,735.9053345,N
15-12-2021,729.6972046,N
16-12-2021,718.9299316,N
17-12-2021,706.4651489,N
20-12-2021,688.6654053,N
21-12-2021,698.753479,N
22-12-2021,710.8303223,N
23-12-2021,709.3753052,N
24-12-2021,705.3012085,N
27-12-2021,713.9343872,N
